FutureMaxAmplitude CycleEFoldingTime MinAmplitude
193.0 265.5904761904762 285.0
264.3 105.46190476190478 212.68387096774194
235.3 81.2 255.41612903225808
82.0 207.36190476190475 139.2720430107527
81.2 226.7714285714286 81.2
119.2 285.0 83.39139784946236
244.9 251.0333333333333 214.8752688172043
219.9 110.31428571428572 274.0430107526882
186.2 285.0 146.94193548387096
234.0 251.0333333333333 189.6741935483871
124.4 115.16666666666669 121.74086021505377
146.5 144.28095238095239 172.14301075268818
107.1 115.16666666666669 130.50645161290322
175.7 197.6571428571429 108.59247311827957
130.2 110.31428571428572 184.19569892473118
198.6 144.28095238095239 144.7505376344086
218.7 197.6571428571429 222.5451612903226
285.0 158.83809523809526 137.0806451612903
156.6 110.31428571428572 237.88494623655913
232.9 212.21428571428572 276.23440860215055
212.5 163.6904761904762 229.11935483870968
180.3 105.46190476190478 203.91827956989246
116.4 168.54285714285714 105.30537634408603
