FutureMaxAmplitudeTime CycleLength
1188.0 1793.411237298267
1065.0 1065.0
1248.0 1144.603108188882
2497.0 2497.0
2131.0 2080.153616258219
2406.0 2237.647937836223
1216.0 1561.4494919306635
1676.0 1272.1392707710697
1523.0 2134.0783024506873
1249.0 1767.732815301853
1826.0 1926.0830842797368
1402.0 1767.732815301853
1492.0 1951.761506276151
1492.0 1845.6240286909747
1736.0 1377.4208009563658
1308.0 1431.3454871488345
1185.0 1508.3807531380755
1430.0 1428.7776449491935
1492.0 1534.9151225343696
1370.0 1819.9456066945606
1157.0 1534.9151225343696
1918.0 1351.7423789599525
1947.0 2107.543933054393
