FutureMaxAmplitude FutureMaxAmplitudeTime MaxAmplitude MinAmplitude AscentTime DescentTime CycleLength AscentDescentRatio CycleArea CycleEFoldingTime MaxAmplitude_MinAmplitude MaxAmplitude_AscentTime MaxAmplitude_DescentTime MaxAmplitude_CycleLength MaxAmplitude_AscentDescentRatio MaxAmplitude_CycleArea MaxAmplitude_CycleEFoldingTime MinAmplitude_AscentTime MinAmplitude_DescentTime MinAmplitude_CycleLength MinAmplitude_AscentDescentRatio MinAmplitude_CycleArea MinAmplitude_CycleEFoldingTime AscentTime_DescentTime AscentTime_CycleLength AscentTime_AscentDescentRatio AscentTime_CycleArea AscentTime_CycleEFoldingTime DescentTime_CycleLength DescentTime_AscentDescentRatio DescentTime_CycleArea DescentTime_CycleEFoldingTime CycleLength_AscentDescentRatio CycleLength_CycleArea CycleLength_CycleEFoldingTime AscentDescentRatio_CycleArea AscentDescentRatio_CycleEFoldingTime CycleArea_CycleEFoldingTime
193.0 193.0 144.1 18.6 2312.0 1826.0 11.336986301369864 -1.0366533864541831 9425.0 9.5 2680.26 333159.2 263126.6 1633.6597260273973 -149.3817529880478 1358142.5 1368.95 43003.200000000004 33963.600000000006 210.8679452054795 -19.281752988047806 175305.0 176.70000000000002 4221712.0 26211.112328767125 -2396.7426294820716 21790600.0 21964.0 20701.336986301372 -1892.9290836653383 17210050.0 17347.0 -11.752525241499754 106851.09589041097 107.70136986301371 -9770.458167330677 -9.84820717131474 89537.5
264.3 264.3 193.0 12.0 1188.0 2099.0 9.005479452054795 -0.96353591160221 10681.05 6.75 2316.0 229284.0 405107.0 1738.0575342465754 -185.96243093922652 2061442.65 1302.75 14256.0 25188.0 108.06575342465754 -11.56243093922652 128172.59999999999 81.0 2493612.0 10698.509589041096 -1144.6806629834255 12689087.399999999 8019.0 18902.501369863014 -2022.4618784530387 22419523.95 14168.25 -8.677102853250586 96187.97630136985 60.786986301369865 -10291.575248618785 -6.503867403314917 72097.0875
235.3 235.3 264.3 15.9 1065.0 2315.0 9.26027397260274 -1.0157004830917875 12326.8 6.333333333333333 4202.37 281479.5 611854.5 2447.4904109589042 -268.44963768115946 3257973.2399999998 1673.9 16933.5 36808.5 147.23835616438356 -16.149637681159422 195996.12 100.7 2465475.0 9862.191780821917 -1081.7210144927537 13128042.0 6745.0 21437.534246575342 -2351.3466183574883 28536542.0 14661.666666666666 -9.405664747534908 114149.54520547944 58.64840182648401 -12520.336714975845 -6.4327697262479875 78069.73333333332
82.0 82.0 235.3 5.3 1248.0 3712.0 13.58904109589041 -0.9539130434782609 16815.2 8.5 1247.09 293654.4 873433.6000000001 3197.5013698630137 -224.4557391304348 3956616.5600000005 2000.0500000000002 6614.4 19673.6 72.02191780821917 -5.055739130434783 89120.56 45.05 4632576.0 16959.12328767123 -1190.4834782608696 20985369.6 10608.0 50442.520547945205 -3540.9252173913046 62418022.400000006 31552.0 -12.962763549731983 228502.44383561643 115.5068493150685 -16040.238608695654 -8.108260869565218 142929.2
81.2 81.2 82.0 0.0 2497.0 1976.0 12.254794520547945 -0.9353658536585366 5686.699999999999 8.833333333333334 0.0 204754.0 162032.0 1004.8931506849315 -76.7 466309.3999999999 724.3333333333334 0.0 0.0 0.0 -0.0 0.0 0.0 4934072.0 30600.22191780822 -2335.608536585366 14199689.899999997 22056.833333333336 24215.47397260274 -1848.2829268292685 11236919.199999997 17454.666666666668 -11.462716338122286 69689.33999999998 108.25068493150685 -5319.1449999999995 -8.262398373983741 50232.51666666666
119.2 119.2 81.2 0.2 2131.0 2526.0 12.758904109589041 -1.002469135802469 4700.4 9.833333333333334 16.240000000000002 173037.2 205111.2 1036.0230136986302 -81.40049382716049 381672.48 798.4666666666667 426.20000000000005 505.20000000000005 2.5517808219178084 -0.20049382716049383 940.0799999999999 1.9666666666666668 5382906.0 27189.224657534247 -2136.2617283950617 10016552.399999999 20954.833333333336 32228.991780821918 -2532.2370370370368 11873210.399999999 24839.0 -12.790407576526297 59971.95287671233 125.46255707762558 -4712.005925925925 -9.85761316872428 46220.6
244.9 244.9 119.2 12.2 2406.0 1461.0 10.594520547945205 -1.1121495327102804 7940.15 9.25 1454.24 286795.2 174151.2 1262.8668493150685 -132.56822429906543 946465.88 1102.6000000000001 29353.199999999997 17824.2 129.25315068493148 -13.56822429906542 96869.82999999999 112.85 3515166.0 25490.416438356162 -2675.8317757009345 19104000.9 22255.5 15478.594520547944 -1624.8504672897197 11600559.15 13514.25 -11.782691076686723 84122.08232876711 97.99931506849315 -8830.634112149532 -10.287383177570094 73446.3875
219.9 219.9 244.9 17.6 1216.0 2313.0 9.668493150684931 -1.023757149142103 13008.000000000002 6.833333333333333 4310.240000000001 297798.4 566453.7000000001 2367.81397260274 -250.71812582490102 3185659.2000000007 1673.4833333333333 21401.600000000002 40708.8 170.1654794520548 -18.018125824901013 228940.80000000005 120.26666666666667 2812608.0 11756.887671232877 -1244.8886933567971 15817728.000000002 8309.333333333332 22363.224657534247 -2367.950285965684 30087504.000000004 15805.5 -9.898188984445154 125767.75890410959 66.06803652968036 -13317.032996040476 -6.995673852471036 88888.00000000001
186.2 186.2 219.9 6.0 1676.0 2860.0 12.427397260273972 -0.9457690509583918 14810.8 9.833333333333334 1319.4 368552.4 628914.0 2732.7846575342464 -207.97461430575038 3256894.92 2162.3500000000004 10056.0 17160.0 74.56438356164384 -5.674614305750351 88864.79999999999 59.0 4793360.0 20828.317808219177 -1585.1089294062647 24822900.799999997 16480.666666666668 35542.356164383564 -2704.8994857410007 42358888.0 28123.333333333336 -11.753447712732234 184059.69534246574 122.2027397260274 -14007.59625993455 -9.300062334424187 145639.53333333333
234.0 234.0 186.2 9.9 1523.0 2585.0 11.254794520547945 -1.0221213840045378 12438.699999999999 9.25 1843.3799999999999 283582.6 481326.99999999994 2095.6427397260272 -190.31900170164494 2316085.9399999995 1722.35 15077.7 25591.5 111.42246575342466 -10.119001701644924 123143.12999999999 91.575 3936955.0 17141.05205479452 -1556.6908678389111 18944140.099999998 14087.75 29093.643835616436 -2642.18377765173 32154039.499999996 23911.25 -11.503766152029154 139995.0126027397 104.10684931506849 -12713.861259217243 -9.454622802041975 115057.97499999999
